CLIENTNUM,idstatus,Customer_Age,Gender,Dependent_count,Educationid,Maritalid,Income_Category,card_categoryid,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Trans_Amt,Total_Trans_Ct,Avg_Utilization_Ratio
711427458,1,44,F,5,2,1,Unknown,1,35,4,1,2,6273,978,5295,1359,25,0.156
714091983,1,42,M,2,1,2,$60K - $80K,1,34,4,4,3,3336,1753,1583,1168,27,0.525
787584108,1,55,M,3,4,1,$80K - $120K,1,47,4,2,3,3436,2016,1420,1097,33,0.587
712030833,2,48,M,2,2,1,$60K - $80K,3,35,2,4,4,34516,0,34516,691,15,0
711481533,1,39,M,1,1,0,$60K - $80K,1,33,5,3,3,5926,1251,4675,1316,28,0.211
710082708,1,44,M,4,6,2,$120K +,1,32,2,4,2,23957,2102,21855,1276,26,0.088
708155733,1,53,M,2,1,2,$120K +,1,44,4,2,2,14734,1634,13100,1289,23,0.111
788979258,1,51,M,4,3,2,$80K - $120K,3,38,4,1,4,34516,1515,33001,1293,32,0.044
807986133,1,57,M,2,5,1,$60K - $80K,1,52,5,3,3,6584,1817,4767,1353,35,0.276
788730933,1,44,F,2,3,2,Less than $40K,1,20,6,3,3,2084,1468,616,1132,28,0.704
711314058,1,49,M,2,2,1,$60K - $80K,1,32,2,2,2,1687,1107,580,1670,17,0.656
717975333,1,50,M,2,7,1,$80K - $120K,1,38,6,2,2,25300,1330,23970,837,15,0.053
715971108,1,51,M,4,2,2,$120K +,1,42,3,2,3,34516,1763,32753,1550,41,0.051
720096558,1,55,F,2,2,1,Less than $40K,1,42,5,3,3,2216,1034,1182,1540,36,0.467
719580033,1,54,M,1,2,3,$60K - $80K,1,43,4,2,3,2910,2030,880,1256,21,0.698
820582308,1,42,M,5,3,1,$80K - $120K,1,37,6,2,2,22913,1528,21385,1394,35,0.067
789973308,1,44,M,1,5,2,$60K - $80K,1,35,3,3,3,24312,1932,22380,1341,24,0.079
712876233,1,53,M,2,2,2,$80K - $120K,1,36,5,3,2,5272,1515,3757,1289,33,0.287
804595158,1,44,F,4,2,2,Less than $40K,1,36,6,4,2,7000,2517,4483,1112,23,0.36
714826758,1,37,F,3,3,2,Less than $40K,1,29,4,4,2,7038,1801,5237,2339,57,0.256
779058108,1,49,M,3,2,0,$60K - $80K,1,30,6,1,2,2536,1823,713,1468,23,0.719
710790258,1,47,M,2,2,1,$80K - $120K,1,38,6,3,2,28904,1899,27005,1334,35,0.066
715623483,1,47,M,3,2,1,$60K - $80K,1,37,4,4,0,8567,1695,6872,1457,41,0.198
715156383,1,44,M,1,4,3,$120K +,1,36,6,2,2,34516,1533,32983,1603,29,0.044
711013983,2,55,F,4,4,1,$40K - $60K,1,45,2,4,3,2158,0,2158,615,12,0
755420433,1,59,F,1,2,1,Unknown,1,52,2,3,3,10133,1417,8716,1068,20,0.14
794543958,1,53,M,1,2,0,$80K - $120K,1,35,5,4,2,34516,1219,33297,1590,27,0.035
716396358,1,52,M,2,2,1,$60K - $80K,1,47,5,3,0,3085,1910,1175,1531,35,0.619
715398033,1,53,M,2,1,2,$120K +,1,35,4,2,1,19040,2056,16984,1212,31,0.108
711743883,1,43,F,3,3,2,Less than $40K,1,35,5,2,3,4026,0,4026,1237,32,0
719720058,1,44,M,3,1,2,$60K - $80K,1,31,4,3,1,12756,837,11919,1413,14,0.066
778992108,1,57,M,2,4,1,$120K +,1,45,5,3,3,5266,0,5266,1516,29,0
717539808,1,51,F,2,1,2,Less than $40K,1,36,3,2,2,9930,0,9930,1276,21,0
714070758,1,49,M,4,1,2,$80K - $120K,1,38,4,3,0,31302,1953,29349,1564,35,0.062
714107958,1,45,M,1,2,2,$40K - $60K,1,36,4,4,3,6576,0,6576,1465,34,0
789140283,1,53,M,0,2,2,$80K - $120K,1,42,5,4,1,2664,2037,627,1286,29,0.765
715550508,1,45,F,3,4,1,Unknown,1,28,5,1,2,2535,2440,95,1312,20,0.963
719712633,1,64,M,1,2,1,Less than $40K,1,52,6,4,3,1709,895,814,1673,32,0.524
772629333,1,45,M,3,2,1,$40K - $60K,1,35,5,4,2,3454,1200,2254,1313,30,0.347
720336708,1,53,M,3,7,1,$40K - $60K,1,35,5,3,2,3789,1706,2083,1609,42,0.45
802013583,1,56,M,3,5,1,$120K +,1,50,3,2,0,9689,2250,7439,1158,19,0.232
711887583,2,47,M,2,4,1,$80K - $120K,1,37,2,3,3,5449,1628,3821,836,18,0.299
714778833,1,49,F,3,5,2,Unknown,1,43,4,4,0,23032,1960,21072,1289,22,0.085
713843283,1,41,F,3,4,1,Unknown,3,34,5,3,3,34516,2053,32463,1487,26,0.059
779155158,1,53,M,3,2,1,$120K +,1,34,6,2,2,2940,1264,1676,1259,33,0.43
721091583,1,44,F,2,2,2,Less than $40K,1,32,3,3,3,3031,1879,1152,1298,15,0.62
713572683,1,44,M,3,1,3,$60K - $80K,1,25,3,3,0,1862,0,1862,1226,34,0
716657058,1,43,F,4,6,1,Less than $40K,1,33,2,3,3,8358,926,7432,1566,37,0.111
779509983,1,53,M,2,6,2,$120K +,1,36,6,1,2,34516,931,33585,1022,21,0.027
717929133,1,44,M,1,3,1,$60K - $80K,1,36,5,2,3,14450,2440,12010,1235,30,0.169
808284783,1,62,F,1,4,1,Less than $40K,1,56,6,0,0,1438.3,0,1438.3,1951,44,0
708476808,1,54,M,4,4,0,$120K +,1,36,6,3,2,33791,1960,31831,1047,31,0.058
710916408,1,57,M,4,2,1,$60K - $80K,1,39,4,3,0,8466,1886,6580,1342,32,0.223
708492558,1,42,M,3,4,1,$60K - $80K,1,36,5,3,3,15088,865,14223,1107,21,0.057
799825758,1,42,M,4,1,0,$60K - $80K,1,36,5,1,2,3263,1674,1589,1251,35,0.513
718619883,1,54,F,0,3,1,Less than $40K,1,36,2,2,2,1494,706,788,1305,24,0.473
711844758,1,48,M,3,2,2,$80K - $120K,1,35,6,1,0,13551,1294,12257,1388,37,0.095
714798783,1,49,M,1,2,2,$80K - $120K,1,36,6,2,2,18886,895,17991,1235,18,0.047
826762908,1,52,M,3,1,3,$80K - $120K,1,48,3,2,0,11976,1273,10703,2089,36,0.106
771894558,1,50,M,3,1,2,$80K - $120K,1,39,4,1,4,9964,1559,8405,1626,25,0.156
721074183,1,49,M,1,7,1,$60K - $80K,1,36,4,6,3,24159,1196,22963,1111,24,0.05
715259583,1,53,F,2,1,1,Less than $40K,1,44,3,2,3,5362,1901,3461,1553,38,0.355
718414008,1,50,M,2,2,2,$120K +,1,36,3,2,2,34516,1023,33493,1064,13,0.03
719666283,1,55,F,1,7,1,Less than $40K,1,36,4,1,0,3174,1951,1223,1243,29,0.615
714877233,1,53,M,1,1,1,$80K - $120K,1,47,3,2,2,12262,1836,10426,1659,38,0.15
785387883,1,47,F,3,1,2,$40K - $60K,1,41,4,3,3,3788,1540,2248,1594,47,0.407
771075258,1,55,M,2,5,2,$120K +,3,42,2,3,2,34516,1527,32989,1268,42,0.044
711318033,1,47,M,3,2,2,$60K - $80K,1,36,4,2,2,2926,0,2926,1304,24,0
783554958,1,58,M,4,2,2,$120K +,1,52,6,1,0,32090,0,32090,1368,30,0
720201033,2,53,M,2,2,1,$80K - $120K,1,41,3,3,2,11669,2227,9442,720,23,0.191
718039683,1,52,M,2,1,2,$40K - $60K,1,45,3,1,2,13532,1300,12232,1521,29,0.096
710806083,1,50,F,1,3,3,Less than $40K,3,36,4,2,2,11888,2090,9798,1137,30,0.176
714752208,1,42,F,1,2,1,Less than $40K,1,36,5,1,2,2393,1985,408,978,16,0.83
822063408,1,43,M,4,4,1,$40K - $60K,1,39,5,1,2,6111,2517,3594,1221,16,0.412
714490308,1,57,M,4,2,1,$80K - $120K,1,46,3,2,3,19270,1662,17608,1565,28,0.086
713356833,1,52,M,1,2,1,$80K - $120K,1,43,3,1,4,3710,2517,1193,1578,34,0.678
711402333,1,47,M,2,7,2,Less than $40K,1,37,2,1,3,3235,797,2438,1493,32,0.246
708296883,1,44,F,3,2,2,$40K - $60K,1,38,3,1,0,11749,788,10961,1178,27,0.067
719154483,1,53,M,2,1,0,$60K - $80K,1,36,5,3,2,7753,2100,5653,991,26,0.271
717721458,1,45,M,4,5,0,$60K - $80K,1,40,5,1,0,10408,1186,9222,2560,42,0.114
711112683,1,63,F,1,5,1,Unknown,1,36,6,2,3,3967,1568,2399,1657,29,0.395
715674483,1,39,F,2,6,2,Less than $40K,1,27,4,2,2,6205,2517,3688,1204,19,0.406
789322833,2,48,F,5,1,1,Less than $40K,1,38,1,3,3,8025,0,8025,673,18,0
789968058,1,51,M,1,4,2,$120K +,1,42,6,2,3,9036,2327,6709,1131,18,0.258
709919283,1,54,M,4,2,1,$80K - $120K,1,34,2,3,2,14926,2517,12409,1576,25,0.169
718744008,1,59,F,1,2,2,Less than $40K,1,36,3,2,3,6335,1128,5207,1217,20,0.178
767712558,2,59,M,1,5,2,$60K - $80K,1,53,2,3,3,14979,0,14979,530,10,0
712950783,2,48,F,4,3,1,Less than $40K,1,38,3,2,3,2732,0,2732,739,16,0
716104983,1,41,F,2,2,2,Less than $40K,1,32,6,3,2,2250,2117,133,1617,31,0.941
818839983,1,55,M,2,2,1,$120K +,1,50,3,2,0,10916,1536,9380,1592,34,0.141
772288758,1,47,F,4,2,1,Unknown,1,36,4,1,3,5349,1228,4121,1343,30,0.23
712350858,1,41,M,2,1,1,$80K - $120K,1,24,4,1,3,9366,1104,8262,1303,39,0.118
711009708,1,40,M,3,1,2,$80K - $120K,1,28,5,1,0,21617,0,21617,1351,22,0
712720158,1,68,M,1,2,1,Unknown,1,56,5,2,3,13860,1652,12208,1910,32,0.119
712215258,1,50,F,1,2,2,$40K - $60K,3,31,2,2,3,18386,0,18386,1298,22,0
773827008,1,47,M,4,3,2,$60K - $80K,1,41,6,2,2,2405,1540,865,1087,29,0.64
795232683,1,53,F,1,5,1,Less than $40K,1,47,4,2,3,2154,930,1224,1439,26,0.432
713786508,1,42,F,5,4,1,$40K - $60K,1,36,3,3,3,2038,0,2038,1238,28,0
713539833,1,48,F,4,1,2,$40K - $60K,1,38,6,1,3,8135,0,8135,1716,29,0
712454058,1,49,M,1,7,1,$120K +,1,38,6,1,3,9364,618,8746,1099,27,0.066
718759833,1,44,F,2,3,1,Unknown,3,35,4,3,2,32643,0,32643,1058,24,0
718803333,1,43,F,4,2,0,Less than $40K,1,34,2,3,1,3195,1954,1241,1285,29,0.612
720253908,1,56,M,0,1,1,$80K - $120K,1,43,5,2,1,2852,1024,1828,1651,28,0.359
714133158,1,59,F,1,5,2,Unknown,1,36,2,3,3,4224,1305,2919,1152,31,0.309
713187033,1,46,M,1,3,1,$60K - $80K,1,36,3,2,2,20459,2071,18388,1767,38,0.101
714791208,1,47,F,4,4,0,Less than $40K,1,41,6,5,3,3482,2114,1368,1039,24,0.607
772426383,1,50,F,4,3,1,$40K - $60K,1,40,5,2,3,3065,1570,1495,1130,28,0.512
710975883,1,51,F,3,3,1,Less than $40K,1,43,3,1,2,2185,1761,424,1645,30,0.806
714264408,1,47,F,3,3,1,Less than $40K,1,36,4,1,0,1611,746,865,1413,29,0.463
715827858,1,58,F,4,3,1,Less than $40K,1,47,3,3,3,2822,2173,649,1218,23,0.77
713741358,2,46,M,5,2,2,$80K - $120K,1,33,6,3,3,32975,2517,30458,597,17,0.076
709531908,1,53,M,3,1,1,$60K - $80K,1,47,5,2,2,1438.3,0,1438.3,2184,53,0
716493408,1,45,F,4,3,0,Unknown,1,36,4,3,3,15875,1719,14156,1592,37,0.108
714141108,1,52,F,1,1,1,Less than $40K,1,45,6,3,3,6703,893,5810,1388,28,0.133
708953883,2,53,M,2,4,1,$80K - $120K,1,36,2,2,1,3212,0,3212,757,20,0
712608783,1,50,M,2,1,1,$80K - $120K,3,45,3,1,3,34516,1260,33256,1504,34,0.037
820353558,1,41,F,3,1,1,$40K - $60K,1,36,4,1,2,9797,1434,8363,1503,34,0.146
714964758,1,45,F,5,2,0,$40K - $60K,1,36,5,2,2,10400,1777,8623,1105,28,0.171
716264358,1,53,M,3,3,1,$80K - $120K,1,42,2,1,2,26792,1836,24956,2398,47,0.069
717296808,1,67,F,1,2,1,Less than $40K,1,56,4,3,2,3006,2517,489,1661,32,0.837
712977183,1,57,F,2,3,2,$40K - $60K,3,36,6,3,0,19482,1072,18410,1421,22,0.055
710829108,1,59,F,1,3,1,$40K - $60K,1,36,4,2,3,3356,985,2371,999,28,0.294
779562633,1,45,M,2,3,1,$40K - $60K,1,34,3,2,1,5771,2248,3523,1387,18,0.39
715315833,1,51,M,3,2,1,$80K - $120K,1,36,6,2,3,11106,2107,8999,1243,24,0.19
815500983,1,59,F,1,3,1,Less than $40K,1,54,5,3,0,2890,2001,889,1860,36,0.692
719360583,1,53,M,1,2,1,$60K - $80K,1,45,6,2,2,3380,1701,1679,1502,25,0.503
709701558,1,47,M,3,2,1,$60K - $80K,1,36,2,1,2,21331,1251,20080,1460,50,0.059
721148358,1,49,F,3,3,2,Unknown,1,38,6,2,1,12860,0,12860,1348,27,0
779862408,1,49,M,3,6,2,$80K - $120K,1,33,3,1,0,6278,462,5816,1087,33,0.074
812627208,1,60,F,0,5,2,Less than $40K,1,55,5,1,3,1438.3,738,700.3,1226,33,0.513
711033408,1,50,F,2,1,1,Less than $40K,1,36,5,1,2,9355,1626,7729,1230,28,0.174
779956608,1,41,F,2,6,1,Unknown,1,31,6,1,3,20758,0,20758,1555,32,0
780376683,1,57,M,1,2,1,$80K - $120K,1,47,5,3,1,14612,1976,12636,1827,24,0.135
717912483,1,43,M,4,2,3,$80K - $120K,1,27,5,2,0,27259,0,27259,1376,35,0
714454758,1,57,F,3,2,1,Less than $40K,1,47,4,2,3,6347,1594,4753,1771,37,0.251
780466533,1,54,M,3,7,1,$120K +,1,41,3,3,0,21592,1676,19916,1873,52,0.078
715735233,1,51,F,5,6,1,Less than $40K,1,44,5,1,1,3449,1598,1851,1679,42,0.463
720476733,1,47,F,3,1,1,Less than $40K,1,34,2,1,2,6028,799,5229,1002,22,0.133
715872333,1,41,M,0,1,3,$120K +,1,36,3,2,3,18214,1998,16216,1344,21,0.11
712375758,1,53,M,3,3,1,$80K - $120K,1,43,3,3,1,16393,1423,14970,1461,42,0.087
708868233,2,68,M,0,1,1,Less than $40K,1,52,1,3,2,1438.3,900,538.3,760,21,0.626
718030083,1,59,M,1,5,1,$60K - $80K,1,36,4,1,2,7871,1687,6184,1428,22,0.214
720707283,1,48,M,4,4,1,$80K - $120K,1,36,5,3,0,5288,866,4422,1777,42,0.164
771698658,1,44,M,5,2,1,$60K - $80K,1,32,4,5,3,11376,2006,9370,1302,27,0.176
748326258,1,48,M,3,5,1,$80K - $120K,1,41,4,5,3,12302,1632,10670,1483,41,0.133
770817783,1,47,M,4,2,1,$60K - $80K,3,33,3,2,1,34516,1679,32837,1060,27,0.049
779353083,1,47,M,2,2,1,$60K - $80K,3,32,4,2,2,34516,1468,33048,1330,32,0.043
711441333,1,43,F,1,1,0,Less than $40K,3,35,3,2,2,10514,1580,8934,1229,27,0.15
719808558,2,55,F,2,2,1,Less than $40K,1,43,2,4,3,1438.3,0,1438.3,886,27,0
711551958,2,59,M,2,6,1,$60K - $80K,1,46,3,3,3,1438.3,0,1438.3,844,24,0
809164083,1,63,M,1,2,1,$40K - $60K,1,56,2,1,2,2619,1779,840,1450,37,0.679
820596183,1,58,M,2,5,1,$120K +,1,53,2,3,0,24407,2395,22012,2311,48,0.098
715999608,1,53,F,2,1,1,Less than $40K,1,36,4,1,2,2377,1649,728,1378,26,0.694
710565408,1,59,M,0,4,3,$80K - $120K,3,40,3,2,3,34516,1359,33157,1033,26,0.039
805543158,1,52,M,3,2,1,$120K +,1,47,5,3,3,11086,2207,8879,1523,40,0.199
709752183,1,48,M,3,1,2,$60K - $80K,1,36,4,2,2,11432,2517,8915,1374,37,0.22
716479233,1,43,M,4,1,1,$40K - $60K,1,36,5,3,2,13258,1721,11537,1080,21,0.13
713837058,1,48,M,2,5,2,Less than $40K,1,36,3,2,3,2571,1955,616,1234,24,0.76
718876683,1,43,F,4,2,2,Less than $40K,1,31,5,2,0,5781,1168,4613,1600,32,0.202
770746908,1,44,M,4,4,1,$60K - $80K,1,30,5,1,2,7872,2509,5363,1155,32,0.319
794843883,1,41,M,3,1,1,$80K - $120K,1,35,6,1,2,34516,1202,33314,1353,33,0.035
803043933,1,44,F,3,3,0,Less than $40K,3,38,4,1,3,11127,1835,9292,1546,25,0.165
758076408,1,50,M,2,4,2,$40K - $60K,1,43,2,1,3,1857,1603,254,1590,43,0.863
714606558,1,60,F,1,3,1,Less than $40K,1,36,5,1,0,1913,1272,641,1448,22,0.665
778425408,1,44,M,4,2,2,$80K - $120K,1,24,5,3,0,3839,2295,1544,1271,24,0.598
714171108,1,48,F,3,2,0,$40K - $60K,1,39,6,2,3,2115,1141,974,1223,20,0.539
719662458,1,44,F,2,2,0,Less than $40K,1,27,5,2,2,1438.3,679,759.3,1117,29,0.472
713137233,1,41,M,2,1,2,$80K - $120K,1,28,4,3,0,27756,1789,25967,994,24,0.064
769425858,1,45,M,3,5,2,$60K - $80K,1,32,4,1,2,1438.3,0,1438.3,1468,26,0
711297483,1,47,F,2,3,0,Less than $40K,3,34,6,4,2,13878,2222,11656,1658,38,0.16
788900883,1,51,F,2,2,1,Less than $40K,1,36,3,1,3,3106,1304,1802,1368,38,0.42
758348808,1,51,M,2,2,1,$120K +,1,44,4,3,3,34516,1666,32850,1218,18,0.048
772336458,2,60,F,1,3,1,$40K - $60K,1,50,4,4,3,1438.3,1025,413.3,702,12,0.713
708711483,1,57,M,2,4,1,$80K - $120K,1,46,2,3,0,18871,1740,17131,1516,21,0.092
717906783,1,41,M,5,2,2,$120K +,1,29,5,2,2,5207,1748,3459,1310,26,0.336
719437908,1,44,M,3,6,0,$80K - $120K,1,36,6,2,2,17965,1644,16321,1767,50,0.092
769433508,1,43,M,1,5,2,$60K - $80K,1,37,6,3,3,2733,1819,914,933,25,0.666
790096533,1,55,M,2,5,1,$60K - $80K,1,48,4,3,2,8863,1301,7562,1512,27,0.147
720997383,2,52,M,1,3,1,$80K - $120K,1,36,2,3,3,1857,1833,24,829,17,0.987
787541883,1,44,M,3,2,3,$80K - $120K,1,33,3,3,3,34516,0,34516,1120,27,0
709930758,1,41,M,2,3,1,$40K - $60K,1,30,5,3,3,11107,1222,9885,1506,33,0.11
789830058,1,44,M,4,4,2,$80K - $120K,1,34,4,1,2,21573,1585,19988,1384,36,0.073
710299608,2,53,F,2,4,1,Less than $40K,1,33,2,3,3,2859,2517,342,817,30,0.88
710741208,1,39,M,2,1,2,$80K - $120K,1,36,4,2,2,5269,1475,3794,2094,25,0.28
821797008,2,49,M,5,5,1,$40K - $60K,1,45,2,2,3,1438.3,0,1438.3,815,21,0
708874533,2,45,F,2,5,1,Less than $40K,1,36,1,3,2,3387,0,3387,510,24,0
715341858,1,54,M,2,2,1,$80K - $120K,1,46,6,2,3,1982,1289,693,1377,49,0.65
793636308,1,49,M,3,3,2,$80K - $120K,1,43,2,2,2,4645,1650,2995,1193,33,0.355
713779908,1,46,F,3,7,2,Unknown,1,36,6,3,2,2189,1666,523,1287,36,0.761
712125258,2,46,M,4,1,1,$120K +,1,30,3,3,3,2442,0,2442,701,19,0
709703433,1,47,M,3,2,1,$60K - $80K,1,38,4,1,2,21304,1532,19772,1770,25,0.072
721022433,1,44,M,2,7,2,$60K - $80K,1,36,5,1,2,7577,2480,5097,1409,35,0.327
710103558,1,50,M,3,6,2,$120K +,1,31,4,1,2,3234,1486,1748,1354,28,0.459
715952883,1,73,M,0,1,1,$40K - $60K,1,36,5,3,2,4469,1125,3344,1765,34,0.252
719731458,1,56,M,3,4,3,$40K - $60K,1,46,6,3,4,2910,709,2201,1192,27,0.244
772390908,2,59,M,0,1,2,$40K - $60K,1,48,2,4,3,3616,1054,2562,687,17,0.291
787348608,1,70,M,0,1,1,Less than $40K,1,56,3,2,3,3252,1495,1757,1227,15,0.46
709485033,1,55,F,2,1,1,Less than $40K,1,36,4,3,3,2358,1152,1206,1737,26,0.489
715432608,1,43,M,4,4,2,$60K - $80K,1,36,4,1,0,22322,953,21369,1348,34,0.043
799471833,1,45,M,1,3,2,$120K +,1,39,4,2,2,3133,1510,1623,1435,38,0.482
714187533,1,45,F,2,3,2,$40K - $60K,1,35,2,3,0,3540,849,2691,1321,28,0.24
779656908,1,40,M,1,2,1,$40K - $60K,1,23,6,3,2,6990,1378,5612,1479,29,0.197
788950158,1,36,M,2,5,3,$80K - $120K,1,22,2,2,3,34516,1652,32864,1283,39,0.048
778867533,2,59,F,0,6,1,$40K - $60K,1,40,1,4,1,1438.3,0,1438.3,689,23,0
710620383,1,43,M,4,4,1,$60K - $80K,1,35,6,3,2,24396,1171,23225,965,17,0.048
778661358,1,46,F,1,4,1,Less than $40K,1,36,2,3,2,2474,2143,331,1541,40,0.866
789483333,1,41,M,2,3,1,$40K - $60K,1,32,5,1,3,5214,795,4419,1258,23,0.152
809855808,1,51,F,2,2,1,Less than $40K,1,46,5,2,2,5207,1650,3557,1339,20,0.317
718464258,1,51,F,3,4,3,Less than $40K,1,25,2,2,2,9512,1082,8430,1007,22,0.114
708528483,1,43,F,4,2,0,Unknown,1,23,6,3,2,3187,2430,757,1387,33,0.762
771809733,2,64,F,0,1,1,$40K - $60K,1,53,1,3,3,3353,0,3353,960,18,0
719942883,1,54,M,5,2,1,$60K - $80K,1,38,3,3,3,2290,1434,856,1119,18,0.626
